PointerEnter pointerout { target: div._t8qIa_spectrum.kDKRXa_spectrum.kDKRXa_i18nFontFamily.R-l9gW_spectrum--darkest.rfm_fq_spectrum--medium.XhWg9q_spectrum.XhWg9q_spectrum--dark.XhWg9q_spectrum--darkest.XhWg9q_spectrum--large.XhWg9q_spectrum--light.XhWg9q_spectrum--lightest.XhWg9q_spectrum--medium, buttons: 0, clientX: 11, clientY: 18.5, layerX: 11, layerY: 19 } 3 forward-logs-shared.ts:95:22
PointerOverCapture pointerover { target: button, buttons: 0, clientX: 11, clientY: 18.5, layerX: 11, layerY: 19 } 1 forward-logs-shared.ts:95:22
PointerOver pointerover { target: button, buttons: 0, clientX: 11, clientY: 18.5, layerX: 11, layerY: 19 } 3 forward-logs-shared.ts:95:22
PointerMoveCapture pointermove { target: button, buttons: 0, clientX: 11, clientY: 18.5, layerX: 11, layerY: 19 } 1 forward-logs-shared.ts:95:22
PointerMove pointermove { target: button, buttons: 0, clientX: 11, clientY: 18.5, layerX: 11, layerY: 19 } 3 forward-logs-shared.ts:95:22
MouseEnter mouseout { target: div._t8qIa_spectrum.kDKRXa_spectrum.kDKRXa_i18nFontFamily.R-l9gW_spectrum--darkest.rfm_fq_spectrum--medium.XhWg9q_spectrum.XhWg9q_spectrum--dark.XhWg9q_spectrum--darkest.XhWg9q_spectrum--large.XhWg9q_spectrum--light.XhWg9q_spectrum--lightest.XhWg9q_spectrum--medium, buttons: 0, clientX: 11, clientY: 19, layerX: 11, layerY: 19 } 3 forward-logs-shared.ts:95:22
MouseOverCapture mouseover { target: button, buttons: 0, clientX: 11, clientY: 19, layerX: 11, layerY: 19 } 1 forward-logs-shared.ts:95:22
MouseOver mouseover { target: button, buttons: 0, clientX: 11, clientY: 19, layerX: 11, layerY: 19 } 3 forward-logs-shared.ts:95:22
MouseMoveCapture mousemove { target: button, buttons: 0, clientX: 11, clientY: 19, layerX: 11, layerY: 19 } 1 forward-logs-shared.ts:95:22
MouseMove mousemove { target: button, buttons: 0, clientX: 11, clientY: 19, layerX: 11, layerY: 19 } 3 forward-logs-shared.ts:95:22
PointerMoveCapture pointermove { target: button, buttons: 0, clientX: 12, clientY: 15.5, layerX: 12, layerY: 16 } 1 forward-logs-shared.ts:95:22
